Raiders of the Lost Ark (1981),Return of the Jedi (1983),Empire Strikes Back, The (1980);Star Wars (1977);0.997
Return of the Jedi (1983),Empire Strikes Back, The (1980);Star Wars (1977);0.994
Return of the Jedi (1983),Pulp Fiction (1994);Star Wars (1977);0.986
Raiders of the Lost Ark (1981),Return of the Jedi (1983);Star Wars (1977);0.985
Toy Story (1995),Return of the Jedi (1983);Star Wars (1977);0.979
Silence of the Lambs, The (1991),Return of the Jedi (1983);Star Wars (1977);0.976
Return of the Jedi (1983),Twelve Monkeys (1995);Star Wars (1977);0.976
Return of the Jedi (1983),Godfather, The (1972);Star Wars (1977);0.971
Return of the Jedi (1983),Star Trek: First Contact (1996);Star Wars (1977);0.970
Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980);Star Wars (1977);0.966
Independence Day (ID4) (1996),Return of the Jedi (1983);Star Wars (1977);0.965
Contact (1997),Return of the Jedi (1983);Star Wars (1977);0.956
Fargo (1996),Return of the Jedi (1983);Star Wars (1977);0.954
Return of the Jedi (1983);Star Wars (1977);0.947
Empire Strikes Back, The (1980);Star Wars (1977);0.940
Silence of the Lambs, The (1991),Raiders of the Lost Ark (1981);Star Wars (1977);0.936
Return of the Jedi (1983),Star Wars (1977),Empire Strikes Back, The (1980);Raiders of the Lost Ark (1981);0.933
Return of the Jedi (1983),Empire Strikes Back, The (1980);Raiders of the Lost Ark (1981);0.931
Raiders of the Lost Ark (1981),Star Wars (1977),Empire Strikes Back, The (1980);Return of the Jedi (1983);0.930
Return of the Jedi (1983),Empire Strikes Back, The (1980);Raiders of the Lost Ark (1981),Star Wars (1977);0.927
Raiders of the Lost Ark (1981),Pulp Fiction (1994);Star Wars (1977);0.920
Indiana Jones and the Last Crusade (1989);Star Wars (1977);0.918
Star Wars (1977),Empire Strikes Back, The (1980);Raiders of the Lost Ark (1981);0.916
Star Wars (1977),Star Trek: First Contact (1996);Return of the Jedi (1983);0.915
Empire Strikes Back, The (1980),Star Wars (1977);Return of the Jedi (1983);0.913
Mission: Impossible (1996);Independence Day (ID4) (1996);0.913
Raiders of the Lost Ark (1981);Star Wars (1977);0.905
Independence Day (ID4) (1996),Star Wars (1977);Return of the Jedi (1983);0.903
Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980);Return of the Jedi (1983);0.902
